subject	CA	CB
1vk5A00	0.9912	0.9966
5ch8A00	0.9929	0.9957
2wmiA01	0.954	0.9506
4qfvA02	0.9793	0.99
1aisB01	0.9924	0.9947
2gu0A02	0.9815	0.9834
3ecqA01	0.9902	0.9963
4nq3A03	0.9614	0.9726
3fwzA00	0.9851	0.9877
2ebwA00	0.9903	0.9962
2loeA00	0.9944	0.9958
5ix8A01	0.9769	0.9805
2dsrG00	0.9738	0.9873
4ogdA01	0.9848	0.9874
1z2zA03	0.9942	0.9877
1m2aA00	0.9867	0.9895
2b06A00	0.9861	0.9874
4ovdA03	0.9717	0.9766
1vpyA00	0.9849	0.986
2nutA02	0.9739	0.9708
3dadA00	0.9965	0.9984
3s6jA01	0.9863	0.9894
3cpxA01	0.9788	0.9788
1hkqA00	0.993	0.9947
2hu9A02	0.9856	0.9863
2y27A02	0.9791	0.979
3elbA02	0.9878	0.9931
1bxbA00	0.9952	0.9971
2hhcA01	0.9944	0.9968
3zyyX03	0.9885	0.9931
3tigA01	0.9806	0.9867
2o70B00	0.991	0.9952
1x57A00	0.9781	0.9911
3k6kA00	0.988	0.9961
5teaB00	0.9895	0.996
1tqnA00	0.9929	0.9933
2iv7A02	0.9925	0.9968
4rs6A01	0.9747	0.9758
4ii2A06	0.9872	0.9907
1iq0A02	0.9924	0.9918
3vtnA01	0.8979	0.9127
1f49A05	0.9896	0.9915
2p1zA00	0.967	0.9711
2eh3A02	0.994	0.9916
1ef1C01	0.9733	0.9746
4h79A00	0.989	0.991
3v8oA01	0.9795	0.9906
2ddmB00	0.9855	0.9862
1g6cB00	0.9924	0.9977
1m4uA01	0.8689	0.8633
4hj1A01	0.9708	0.9717
3cpgA00	0.9781	0.982
1jr3C02	0.9967	0.9944
1wdeA02	0.987	0.9928
3chtA00	0.9895	0.9909
1zoyA04	0.98	0.9802
1nbwA03	0.9924	0.9972
1wgfA01	0.9883	0.9854
3e22A03	0.967	0.9757
4n5xA01	0.9854	0.9911
2dlaA01	0.9775	0.9762
3kflA02	0.9939	0.9935
4uiqB00	0.9989	0.9975
5k3qA00	0.9619	0.9692
3eipA00	0.9814	0.9883
3mswA00	0.9604	0.9648
1naqB00	0.9899	0.9909
3k89A01	0.9916	0.9951
2r6fA01	0.9825	0.9862
4iu2B02	0.9889	0.9923
2w5qA02	0.9922	0.9952
1zkrB00	0.9953	0.9968
2ef7A00	0.9793	0.9813
2yy7A00	0.9979	0.9985
3d1uA01	0.9596	0.9632
4l6wB01	0.9796	0.9837
1o5mB00	0.9918	0.9942
2qbyA01	0.944	0.9425
4l3tA03	0.8173	0.808
2qpqA02	0.9839	0.9897
2qneA01	0.9876	0.991
4h3sA03	0.995	0.9912
2f4lA02	0.843	0.809
4k1pE00	0.9641	0.9461
1uwwA00	0.975	0.9761
3hrmA00	0.9886	0.9905
2v3mA00	0.9616	0.959
3hxkA00	0.9938	0.9955
2kjqA01	0.9933	0.9935
2p2uA01	0.9575	0.9459
1maiA00	0.9921	0.9928
3pdgA00	0.9833	0.9874
5f67B00	0.9853	0.9899
1gl2C00	0.9832	0.9805
1ej6B00	0.9923	0.9928
3h7hB00	0.9908	0.9912
3ousA00	0.9934	0.991
1nf3C00	0.9812	0.988
1hqmC01	0.9691	0.9757
1thjA00	0.9909	0.9958
